mol_id,smiles,NR-AR-LBD,NR-AR,NR-PPAR-gamma,NR-ER,NR-Aromatase,SR-MMP,SR-p53,NR-AhR,SR-ARE,NR-ER-LBD,SR-HSE,SR-ATAD5
TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0,0,,0,0,1,,,0,,,0
TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
TOX4113,CCOP(=S)(CC)Sc1ccccc1,0,0,0,,1,0,0,0,0,0,0,0
TOX27698,CC/C=C\CCCCO,0,0,0,0,0,0,0,0,0,0,0,0
TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,0,,0,1,,1,0,1,1,0,0,1
TOX27694,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc21,0,0,,0,0,,,1,,0,0,0
TOX10138,CC(=O)CCC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0
TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0,0,0,0,0,,0,0,,0,0,0
TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0,0,0,0,0,,0,,1,0,0,0
TOX21726,O=C(Nc1ccc2c(c1)cc(S(=O)(=O)[O-])c(N=Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc1)c2O)c1ccccc1,0,0,0,,,,0,0,1,0,0,0
TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0,0,,0,,,0,0,0,0,0,0
TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0,0,,0,,,0,0,,0,0,0
TOX27071,Cc1ccccc1CCO,0,0,0,0,0,0,0,0,0,0,0,0
TOX27070,Cc1nc(C)c(C)nc1C,0,0,0,0,0,0,0,0,0,0,0,0
TOX27072,CC1=CC(O)CC(C)(C)C1,0,0,0,0,0,0,0,0,0,0,0,0
TOX27075,Cc1cnc(C)c(C)n1,0,0,0,0,0,0,0,0,0,0,0,0
TOX27074,CC(C)COC(=O)c1ccccc1,0,0,0,,0,0,0,0,0,0,0,0
TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,0,0,0,,0,0,0,0,0,0,0,0
TOX19719,[Ca+2].O=[N+]([O-])[O-].O=[N+]([O-])[O-],0,0,0,0,0,0,0,0,0,0,0,0
TOX24916,C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0,0,0,0,0,0,0,0,0,0,0,0
TOX24915,CC1COc2ccccc2N1,0,0,0,0,,,0,1,0,0,0,0
TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,0,0,0,0,0,,0,0,0,0,0,0
TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,,0,,,,,,0,,,,0
TOX24911,CC(C)CCCCCOC(=O)CCS,0,0,0,0,0,0,0,0,0,0,0,0
TOX24910,CC(O)C#CC(C)O,,0,1,0,,,0,0,,0,,
TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0,0,0,0,0,0,1,0,0,0,0,0
TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,0,0,0,0,0,,0,1,0,0,0,0
TOX6059,N#CCCC#N,0,0,0,0,0,0,0,0,0,0,0,0
TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
TOX6050,C(=C/c1ccccc1)\c1ccccc1,0,0,0,1,,,0,1,1,0,0,0
TOX5649,Cc1ccc2c(ccc3ccccc32)c1,0,0,0,,,,0,,0,0,0,0
TOX2968,Cn1c2ncn(CC3OCCO3)c2c(=O)n(C)c1=O,0,0,0,0,0,0,0,0,0,0,0,0
TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0,0,0,1,0,0,1,0,,1,0,0
TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0,0,0,,,,0,1,1,0,,0
TOX2617,COC(=O)C1=CCCN(C)C1,0,0,0,0,0,0,0,0,0,0,0,0
TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,,,,,,,,,0,,0,
TOX2610,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,,,,,,,,,0,,0,
TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
TOX2612,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0,0,0,0,0,0,0,0,,0,,0
TOX27158,CCCCCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX1708,O=C([O-])c1ccccc1O,0,0,0,0,0,,0,0,0,0,0,0
TOX1709,NC(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
TOX25756,CCN1CCc2nc(N)oc2CC1,,,,,,,,,0,,0,
TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0,0,0,,,,0,0,,0,,0
TOX9559,O=C(NCO)N(CO)C1C(=O)N(CO)C(=O)N1CO,0,0,0,0,0,0,0,0,0,0,0,0
TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,0,,0,0,0,0,0,0,,0,,0
TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0,0,,0,0,,0,0,0,0,0,0
TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,0,,,,0,0,0,1,0,0,0
TOX2586,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0,0,0,1,0,0,0,0,0,0,0,0
TOX14836,[K+].[I-],0,0,0,0,0,0,0,0,0,0,0,0
TOX27155,N[C@@H](CCC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,,0,,0,,1,0,1,1,0,0,0
TOX5391,C/C=C/C=C/C=O,0,0,0,0,0,0,0,0,1,0,0,0
TOX5390,CCCCCCCCCCCCCCCCN,,,,,,,,,0,,0,
TOX5395,C[Si](C)(C)N[Si](C)(C)C,0,0,0,0,0,0,0,0,0,1,0,0
TOX27150,CC(C)(C)OC(=O)c1ccccc1C(=O)O,0,0,0,0,,0,0,0,0,0,0,0
TOX24463,C=C[Si](OCC)(OCC)OCC,0,0,0,0,0,,0,0,0,0,0,0
TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0,0,,0,1,,0,0,1,0,0,0
TOX12374,O=c1sc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,,,,,,,,,1,,1,
TOX25539,CCNC1(c2cccs2)CCCCC1=O,0,0,0,0,0,0,0,0,,0,,0
TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0,0,,,,,,0,1,,0,
TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc21)CC1CCCO1,0,0,0,0,0,0,0,0,0,0,0,0
TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0,0,0,0,0,0,0,0,0,0,0,0
TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0,0,0,0,0,0,0,0,0,0,0,0
TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0,0,0,0,0,0,0,0,0,0,0,0
TOX25537,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1C3[C@H]5O,0,0,0,0,0,,0,0,,0,,0
TOX12378,O=C(C(c1ccccc1)c1ccccc1)C1C(=O)c2ccccc2C1=O,,,,,,,,,,,0,
TOX25535,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3[C@H](Cl)CC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,1,0,,,0,0,,,0,,0
TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,0,0,0,,0,0,0,0,0,0,0,0
TOX26974,OCCSc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0,0,0,0,0,0,0,0,,0,,0
TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,,,,,,,,,0,,0,
TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0,0,,,,,1,0,1,0,,0
TOX24395,CCCCCCCCCCCCBr,0,0,0,0,,,0,0,,0,0,0
TOX28637,CC(=O)N[C@@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,0,0,0,0,0,0,0,0,,0,,0
TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0,0,0,0,0,0,0,0,0,0,0,0
TOX3569,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,,0,1,0,,1,0,,1,0,0,0
TOX3565,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0,0,0,0,0,0,0,0,,0,,0
TOX3567,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0,0,0,0,0,0,0,0,,0,,0
TOX7019,CCCCCCCCCCCCCC(=O)OC,0,0,0,0,0,0,0,0,0,0,0,0
TOX12516,CCCCCCCCSCCO,0,0,0,0,0,,0,0,0,0,0,0
TOX7014,CCCCCCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX25442,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,1,1,0,0,0,0,0,,,0,,0
TOX13334,C[C@@H]1CC2(OC(O)C3(C)OC32)OC2C[C@@]3(C)C4=CC[C@@H]5[C@]6(C[C@@]46CC[C@]3(C)C21)CCC(O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,0,0,0,0,0,1,0,0,0,0,0,0
TOX3701,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,0,0,0,0,0,0,0,0,,0,,0
TOX3702,NCCNCCNCCN,0,0,0,,0,0,0,0,0,0,0,0
TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1,1,0,1,,,1,0,1,0,0,0
TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0,0,0,,1,0,0,1,1,0,0,0
TOX4930,Cc1ccc(N)c(N)c1,0,0,0,1,0,,0,1,1,1,1,1
TOX4931,CCCCCNCCCCC,0,0,0,0,0,0,0,0,0,0,0,0
TOX4284,COCC(C)O,0,0,0,1,0,0,0,0,0,0,0,0
TOX4937,c1ccc2c(c1)Oc1ccccc1S2,0,0,0,1,0,1,0,0,0,0,0,0
TOX4934,c1ccc(N=NNc2ccccc2)cc1,0,0,,1,,,0,1,1,0,0,0
TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0,0,0,0,0,0,0,0,0,0,0,0
TOX25914,NCC(=O)CCC(=O)O,,,,,,,,,,,0,
TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,,0,0,0,1,0,,,,,1,0
TOX175,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0,0,0,0,0,1,0,0,0,0,0,0
TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c21,0,0,0,,0,1,0,1,0,0,0,0
TOX173,ClCOCCl,0,0,0,1,0,0,0,0,0,0,0,0
TOX179,CC(O)CNCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX28145,Cc1ccc2oc(CN(Cc3ccccc3)C(=O)Nc3c(F)cc(F)cc3F)c(-c3ccc(Cl)cc3)c2c1,0,0,0,0,,1,,0,0,0,,0
TOX13979,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0,0,0,0,0,0,0,,0,0,0,0
TOX17262,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,,,0,0,0,1,0,0,0
TOX5886,CCOC(=O)C1OC1c1ccccc1,0,0,0,0,0,0,0,0,,0,0,0
TOX5889,ONc1ccccc1,0,0,0,1,,,0,1,,0,0,0
TOX5888,O=CC(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,,0
TOX24831,CCCCOC(=O)C(C)OC(=O)CCC,0,0,0,0,0,0,0,0,0,0,0,0
TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
TOX28149,COc1ccc(-n2nc(C(F)F)cc2-c2ccc(S(C)=O)cc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
TOX6867,O=C(O)CCCCCCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX6864,CCCCCCCC(=O)OC,0,0,0,0,0,0,0,0,0,0,0,0
TOX6863,CC(O)COCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
TOX2455,COC(=O)c1ccccc1C(=O)OC,0,0,0,0,0,0,0,0,0,0,0,0
TOX27268,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,,0,1,,1,,,0,,0,0,0
TOX27264,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,0,0,0,1,,,0,1,0,0,0,1
TOX27265,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,0,0,0,0,0,,0,0,,0,0,0
TOX27266,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0,0,0,,0,0,0,0,,0,0,0
TOX27267,Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,0,0,0,0,,0,0,0,,0,0,0
TOX27261,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,0,0,0,0,0,,0,0,1,0,0,0
TOX27262,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,,0,,0,0,0,0,0,0,0,0,0
TOX27263,CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,0,0,0,0,0,0,0,,,0,0,0
TOX28974,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,,,,,,,,,0,,0,
TOX28976,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,0,0,,0,,1,0,,,0,0,0
TOX22379,CO[Si](C)(C)OC,0,0,0,0,0,0,0,0,0,0,0,0
TOX28972,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn21,0,0,0,0,0,,0,,,0,0,0
TOX20283,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,,0,,1,0,0,,0,0,0
TOX20287,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,0,0,0,,1,1,0,1,1,0,0,0
TOX20285,CC(=O)c1ccccc1O,0,0,0,0,,0,0,0,0,0,0,0
TOX20284,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,0,0,1,0,0,0,0,0,0,0,0,0
TOX20289,O=C(O)c1cccc(Cl)n1,0,0,0,0,0,0,0,0,0,0,,0
TOX28978,NC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,0,0,0,0,,0,0,0,0,0,0
TOX27519,CCCCCCOC(=O)C(C)C,0,1,0,0,,0,0,0,0,0,0,0
TOX1553,CCCCCCCCCC=O,0,0,,,0,0,0,0,0,0,0,0
TOX4704,Cc1ccc(C(C)(C)C)cc1,0,0,0,0,0,0,0,0,0,0,0,0
TOX1557,BrCBr,0,0,0,0,0,0,0,0,0,0,0,0
TOX10307,Nc1cc(Cl)cc(Cl)c1,0,0,0,0,0,0,0,0,0,0,0,0
TOX4702,CC(C)(C)c1ccc(OCC2CO2)cc1,0,0,0,1,,0,0,0,0,0,0,0
TOX1559,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,,0,0,,,1,,0,,,,
TOX27484,O.O.O.O.O.O.[Mg+2].O=[N+]([O-])[O-].O=[N+]([O-])[O-],0,0,0,0,0,0,0,0,0,0,0,0
TOX27487,CCCCCCCCCOS(=O)(=O)[O-],0,0,0,1,0,0,0,0,0,0,0,0
TOX7249,O=Cc1ccc(C(=O)O)cc1,0,0,0,0,0,0,0,0,1,0,0,0
TOX7244,CCC(Cl)CCl,0,0,0,0,0,0,0,0,0,0,0,0
TOX7247,CC(C)(O)c1ccccc1,,0,0,0,,,0,0,0,0,0,0
TOX7246,O=C1CCCN1,0,0,0,1,0,0,0,0,0,0,0,0
TOX7241,ClCc1ccccc1Cl,,0,0,0,0,,0,0,0,0,0,0
TOX7240,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0,0,0,0,0,,0,,1,0,0,0
TOX24613,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0
TOX24615,C=CC(=O)OCCOC(=O)C=C,,0,1,1,0,0,,0,1,1,,1
TOX24616,CCCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,0,,0,0,0,0,0
TOX24617,N#CCc1cccc(C(F)(F)F)c1,0,0,0,0,0,0,0,0,0,0,,0
TOX24618,COc1cccc(Br)c1,0,0,0,0,0,0,0,0,0,0,0,0
TOX24619,CCCCCCCCNC,0,0,0,0,0,0,0,0,0,0,0,0
TOX21884,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,,0,0,1,,,0,1,,0,,0
TOX3951,CC1=C(C(=O)Nc2ccccc2)SCCO1,0,0,0,1,,0,0,1,0,0,0,1
TOX3950,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0,0,,1,,,0,1,0,0,1,0
TOX21880,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,0,0,0,0,0,0,0,0,0,0,0,0
TOX768,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c21,0,0,,1,1,1,0,1,0,1,0,0
TOX760,O=P1(NCCCl)OCCCN1CCCl,0,0,0,0,0,0,0,0,0,0,0,0
TOX761,C=CC(=C)C,,,0,,,0,0,,0,0,0,0
TOX762,CC(C)O,,0,0,0,,0,0,0,0,0,,0
TOX764,CC(C)OC(=O)Nc1cccc(Cl)c1,0,0,0,0,,,0,,0,0,0,1
TOX766,CC(C)OC(=O)Nc1ccccc1,0,0,0,1,,0,0,0,0,0,0,0
TOX767,CC=Cc1ccc2c(c1)OCO2,0,0,0,0,0,0,0,0,0,0,0,0
TOX17072,CCCC(CCC)C(=O)[O-],0,0,0,0,,0,0,0,0,0,0,0
TOX21085,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c32,0,0,0,0,0,0,0,0,0,0,0,0
TOX21080,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,0,0,0,0,0,0,0,0,0,0,0,0
TOX27871,CC(C)C1CCC(C)CC1OC(=O)c1ccccc1N,0,0,0,1,0,1,,0,0,1,,0
TOX27870,O=C(c1ccccc1)c1cc(Cl)ccc1O,0,0,0,,1,1,0,,,,0,0
TOX27873,OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
TOX27872,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,0,0,0,0,0,1,0,0,0,,0,0
TOX27875,CC(C)C[P+](C)(CC(C)C)CC(C)C,0,0,0,0,0,0,0,0,0,0,0,0
TOX27874,C=C1C[C@@]23C[C@H]1[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]1OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C[C@H]2[C@@]1(C)CCC[C@@](C)(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1CC3,0,0,0,0,0,0,0,0,0,0,0,0
TOX27876,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,,0,,,1,1,,,,,,
TOX6265,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,0,0,0,1,0,0,0,0,0,0,0,0
TOX6266,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,0,0,0,0,0,0,0,0,0,0,1,0
TOX6267,Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,0,0,0,0,0,,0,1,,0,0,0
TOX6261,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0,0,0,0,1,,0,0,0,0,0,0
