smiles,u0_atom
CN=C(C)NC,-1503.06
CN=CN1CC1,-1340.55
C[N][CH]N(C)C,-1496.03
CC1=CCC=C1,-1493.76
C=CC(=N)NC,-1366.25
C#CC(=N)NC,-1206.25
[CH2][N]N1CCC1,-1325.03
[CH2][N]NC1CC1,-1326.7
C#C[CH][N][N][CH2],-1042.24
C#CCN[N][CH2],-1174.42
CNN=C(C)C,-1485.21
[CH2]C=C[N]NC,-1341.6
C#C[CH][N]NC,-1177.65
CC1C=CC=C1,-1489.69
C=CC1CC1N,-1475.9
C#CC1CC1N,-1323.05
NC1CCC1N,-1484.15
NC1CCCC1,-1641.27
NC1C=CC=C1,-1356.66
NC1CC=CC1,-1499.81
NC1C=CCC1,-1499.26
[NH][C]1CCCN1,-1388.77
[NH][C]1CC=CN1,-1247.32
CC1CC=CC1,-1628.48
Nc1ccc[nH]1,-1256.19
NC1CCNC1,-1506.9
NC1CC(N)C1,-1488.97
Nc1cc[nH]c1,-1254.78
[NH]C1=C[CH]CN1,-1246.41
NCC1CC1N,-1490.31
NCC1CCC1,-1619.14
N#CC1CCC1,-1359.05
NCC1CCN1,-1488.22
N#CC1CCN1,-1224.15
CC1C=CCC1,-1628.19
NCC1CNC1,-1482.03
N#CC1CNC1,-1221.45
NCC1(N)CC1,-1493.05
NCCC1CC1,-1619.83
N#CCC1CC1,-1357.68
NCCC1CN1,-1487.24
N#CCC1CN1,-1224.46
C=CC(N)C=C,-1477.67
C#CC(N)C=C,-1317.4
C#CC(N)C#C,-1158.3
C=CC1CCC1,-1600.59
C1CC2CC2C1,-1620.42
C=CC=CCN,-1484.52
C#CC=CCN,-1324.42
C=CC(=C)CN,-1482.23
C#CC(=C)CN,-1323.22
C=CC#CCN,-1326.82
C#CC#CCN,-1160.48
C=CCCCN,-1621.73
C#CCCCN,-1466.18
NCCCCN,-1637.27
N#CC=CC#N,-967.43
C#CC1CCC1,-1448.78
N#CC#CC#N,-785.04
N#CCCC#N,-1112.08
NCC=CCN,-1495
C=C(CN)CN,-1494.17
NCC#CCN,-1337.98
NCCN1CC1,-1480.89
N#CCN1CC1,-1216.27
C=CC(N)CN,-1492.5
C#CC(N)CN,-1335.94
[NH][CH]N1CCC1,-1357.47
C=CCC1CC1,-1604.07
N=CNC1CC1,-1363.56
N=C(N)C1CC1,-1369.8
C#CCNC=N,-1208.21
C#CCC(=N)N,-1214.56
Nn1cccc1,-1231.06
N[N][CH]C1CC1,-1336.05
C=CC[CH][N]N,-1339
C#CC[CH][N]N,-1183.71
C1=CC2CC1O2,-1246.86
C#CCC1CC1,-1446.88
C1=CC2CC2O1,-1274.65
C1CC1C1CO1,-1396.44
C1CC2CC1O2,-1410.15
C1CC2CC2O1,-1413.82
C1CC2OC2C1,-1419.26
C1=CC2OC2C1,-1273.24
C1=CCOCC1,-1424.24
C1CCOCC1,-1567.83
C1=COC=CC1,-1289.46
C1=COCCC1,-1429.71
CC=CC1CC1,-1605.65
C1COCCO1,-1359.51
C1=COCCO1,-1222.66
C1COCOC1,-1365.17
C1OC1C1CO1,-1191.44
C1OC2CC1C2,-1404.56
C1OC2CC2O1,-1206.6
C1OCC2CC12,-1415.17
C1OCC2OC12,-1211.77
C1=CCOC=C1,-1285.91
C1=COCOC1,-1224.69
C=C(C)C1CC1,-1606.04
CC1CC1CO,-1551.39
CC1CC1(C)O,-1550.73
CC1CC1C=O,-1418.62
CC1CCC1O,-1553.26
CC1(C)CC1O,-1548.92
CC1C(C)C1O,-1545.83
CC1CCC1=O,-1428.79
Cc1ccco1,-1307.56
CC1CCCO1,-1567.57
C=C1CCCO1,-1427.98
CC#CC1CC1,-1455.95
C=C1CC=CO1,-1288.11
CC1=CCCO1,-1430.25
CC1(C)CCO1,-1552.94
CC1CC=CO1,-1427.91
CC1CC(C)O1,-1553.32
Cc1ccoc1,-1304.97
CC1CCOC1,-1565.1
C=C1CCOC1,-1420.82
CC1=CCOC1,-1425.41
CC1(C)COC1,-1547.77
C#CC(=C)C#C,-1151.7
CC1CC(=O)C1,-1427.89
CC1CC(O)C1,-1551.14
CC1CC(=O)O1,-1249.56
CC1COC1C,-1550.18
CC1C(O)C1O,-1342.69
CC1COC1=O,-1246.47
C=C1C=COC1,-1287.92
CC1=COCC1,-1427.68
CC1(CO)CC1,-1550.3
CC1C=COC1,-1425.6
C=CC=CC=C,-1474.75
CC1COCO1,-1363.65
C=C1COCO1,-1221.98
CC1=COCO1,-1221.82
CC1(CO)CO1,-1348.07
CC1OC1(C)C,-1552.8
C=CC1OC1C,-1401.66
C#CC1OC1C,-1246.32
CC1OC1CO,-1350.52
CC1OC1C=O,-1215.49
CC1OCC1O,-1351.42
C#CC=CC=C,-1316.15
CC1(O)CC1O,-1353.17
CC1OCC1=O,-1224.23
C=C1C=CCO1,-1289.94
CC1(O)CCC1,-1553.16
CC1C=CCO1,-1424.25
CC1OCCO1,-1365.5
CC1OC=CO1,-1221.77
CC1(O)COC1,-1349.17
CCC1CC1O,-1546.36
CCC1CCO1,-1548.78
C=CC(=C)C=C,-1465.9
C1CCCCC1,-1774.46
C=CC1CCO1,-1401.67
C#CC1CCO1,-1243.86
CCC1(C)CO1,-1549.18
CCC1COC1,-1545.47
C=CC1COC1,-1397.5
C#CC1COC1,-1244.2
CCC1OC1C,-1549.87
CCC1(O)CC1,-1552.41
CCCC1CO1,-1545.42
C=CCC1CO1,-1400.01
C#CC(=C)C=C,-1312.5
C#CCC1CO1,-1242.64
CC=CC1CO1,-1399.79
C=C(C)C1CO1,-1401.11
CC(C)C1CO1,-1546.22
CC#CC1CO1,-1248.94
CCCCCO,-1696.13
C=CC=CC=O,-1287.12
C=CC(=C)C=O,-1280.22
C=CC#CC=O,-1124.79
C=CCCC=O,-1420.96
C=CC#CC=C,-1316.09
CC=CCCO,-1555.89
CC=C(C)CO,-1555.85
CC=C(C)C=O,-1431.09
CC=CC(C)O,-1556.24
CC=CC(C)=O,-1433.53
CC=CCC=O,-1423.2
C=C(C)CCO,-1555.51
C=C(C)C(C)=O,-1432.27
C=C(C)CC=O,-1423.14
C=CC(C)C=O,-1419.66
C#CC#CC=C,-1149.24
CC(C)CCO,-1696.16
CC(C)=CCO,-1555.96
CC(C)=CC=O,-1429.87
CC(C)(C)CO,-1697.69
CC(C)(C)C=O,-1567.07
CC(C)C(C)O,-1698.71
CC(=O)C(C)C,-1572.05
CC(C)CC=O,-1565.84
CC#CCCO,-1402.56
CC#CC(C)O,-1402.82
C=CCCC=C,-1606.19
CC#CC(C)=O,-1275.89
CC#CCC=O,-1269.98
CCC=CCO,-1554.08
CCC=CC=O,-1427.56
C=C(CC)CO,-1553.44
C=C(C=O)CC,-1426.74
CCC(C)CO,-1696.04
CCC(C)(C)O,-1700.91
CCC(C)C=O,-1565.57
CCC#CCO,-1398.16
C#CCCC=C,-1450.68
CCC#CC=O,-1268.01
CCCC(C)O,-1699.08
CCCC(C)=O,-1573.23
CCCCC=O,-1565.94
CCCCOC,-1687.56
CCC=COC,-1548.78
C=C(CC)OC,-1550.87
CCC(C)OC,-1688.85
CC=CC(=O)O,-1248.18
C=C(C)C(=O)O,-1247.44
C#CC=CC#C,-1155.35
CC(C)C(=O)O,-1389.49
CC#CC(=O)O,-1092.62
CCCC(=O)O,-1390.28
CCCOCC,-1690.79
C#CC(=C)C=O,-1123.74
C=CC(=O)C=C,-1283.65
C#CC(=O)C=C,-1123.24
C=CCOC=C,-1403.46
C=COC=CC,-1408.02
C=COC(=C)C,-1409.33
C#CC#CC#C,-981.05
C#CC(C)C=O,-1261.6
C=CC(C)(C)O,-1554.42
C#CC(C)(C)O,-1398.32
C=COC(C)C,-1551.53
C=CC(C)CO,-1553.09
C#CC(C)CO,-1396.99
CCC(=O)CC,-1573.54
C=CC(=O)CC,-1428.61
C#CC(=O)CC,-1267.12
CCC(O)CC,-1698.79
C#CCCC#C,-1294.93
C=CC(O)CC,-1552.43
C#CC(O)CC,-1395.64
C=COCCC,-1550.44
C=C(C=O)C=O,-1093.56
C=CC(=O)C=O,-1091.7
C=CCOC=O,-1233.53
CC=COC=O,-1237.65
C=C(C)OC=O,-1236.4
CC(C=O)C=O,-1232.07
CC(C)(O)CO,-1503.7
C=CC(C)=CC,-1615.41
CC(C)(O)C=O,-1368.87
CC(C)OC=O,-1383.16
CC(CO)CO,-1498.71
CC(C=O)CO,-1364.51
CCC(=O)CO,-1375.33
CCC(=O)C=O,-1236.4
CCC(O)CO,-1501.14
CCC(O)C=O,-1369.63
CCCOC=O,-1380.38
CCC(=O)OC,-1385.01
C#CC(C)=CC,-1456.42
CC1CC1(C)C,-1751.18
CCOC1CC1,-1541.73
C=COC1CC1,-1399.39
CC(=O)C1CC1,-1423.14
CC(O)C1CC1,-1552.42
CC(=O)C1CO1,-1219.91
CC(O)C1CO1,-1349.75
C#CCOC=C,-1244.67
C=CCC(C)=O,-1427.01
C#CCC(C)=O,-1270.27
C=C(C)C(C)O,-1555.44
CC=CC=CC,-1617.64
C=CCC(C)O,-1554.75
C#CCC(C)O,-1397.35
CC=COCC,-1551.9
CCOC(C)C,-1692.38
C=C(C)OCC,-1554.92
C=CCOCC,-1544.23
C#CCOCC,-1385.93
CCOCCO,-1492.09
C=COCC=O,-1214.72
CC(=O)CCO,-1375.59
CC=CC(C)C,-1754.1
CC(=O)C(C)=O,-1245.09
CC(=O)CC=O,-1239.64
CC(O)CCO,-1501.58
CC(O)C(C)O,-1504.27
CC(=O)C(C)O,-1373.15
CC(O)CC=O,-1367.87
CCOC(C)=O,-1387.62
CCOCC=O,-1356.26
CCOCOC,-1486.3
C=COC(C)=O,-1242.37
C=C(C)C=CC,-1617
COC1CC1C,-1539.6
COC1CC1O,-1337.43
COC1CCC1,-1541.69
COC1(C)CC1,-1541.69
COC1COC1,-1335.86
COCC1CC1,-1540.48
COCC1CO1,-1335.01
COC=C(C)C,-1550.24
C=CC=COC,-1409.41
C#CC=COC,-1249.91
CC#CC=CC,-1460.88
C=CC(=C)OC,-1408.99
C#CC(=C)OC,-1247.46
CC=C(C)OC,-1547.56
COC(C)(C)C,-1689.69
C=CC(C)OC,-1543.96
C#CC(C)OC,-1383.97
CC=CCOC,-1544.53
COCC(C)C,-1688.27
C=C(C)COC,-1544.61
CC#CCOC,-1389.93
C=CCC=CC,-1609.19
C=CCCOC,-1542.35
C#CCCOC,-1387.01
COCCCO,-1489.92
COC=CCO,-1349.47
COC=CC=O,-1224.99
C=C(CO)OC,-1350.25
C=C(C=O)OC,-1218.35
COC(C)CO,-1490.97
COC(C)C=O,-1356.29
COCC(C)O,-1491.2
C#CCC=CC,-1452.68
COCC(C)=O,-1360.43
COCCC=O,-1355.73
COCCOC,-1477.44
COC=COC,-1337.53
COC(C)OC,-1486.13
C=CC(=O)OC,-1240.04
C#CC(=O)OC,-1076.21
C=COCOC,-1342.35
C1=COC=CO1,-1076.78
C=CC1CC1O,-1402.93
C=C(C)C(=C)C,-1614.48
C#CC1CC1O,-1250.37
O=CC1CC1O,-1216.97
OC1CCC1O,-1356.07
O=C1CCC1O,-1228.4
OC1CCCC1,-1571.14
O=C1CCCC1,-1446.66
O=C1C=CC=C1,-1157.14
O=C1CC=CC1,-1303.54
O=C1C=CCC1,-1309.11
OC1C=CC=C1,-1284.37
C=CCC(=C)C,-1609.19
OC1CC=CC1,-1430.36
OC1C=CCC1,-1429.92
Oc1ccco1,-1108.37
O=C1CCCO1,-1259.83
O=C1CC=CO1,-1115.25
Oc1ccoc1,-1103.89
OC1CCOC1,-1365.5
O=C1CCOC1,-1237.65
O=C1CC(O)C1,-1229.3
OC1CC(O)C1,-1353.39
C#CCC(=C)C,-1452.75
OC1C=COC1,-1227.18
O=C1C=CCO1,-1120.22
OCC1CC1O,-1346.49
OCC1CCC1,-1549.15
O=CC1CCC1,-1416.89
OCC1CCO1,-1347.5
O=CC1CCO1,-1213.03
OCC1COC1,-1346.23
O=CC1COC1,-1211.2
OCC1(O)CC1,-1352.41
C=CC(C)C=C,-1605.94
CC1CCC1C,-1750.54
OCCC1CC1,-1549.18
O=CCC1CC1,-1418.48
OCCC1CO1,-1345.95
O=CCC1CO1,-1213.94
C#CC(=O)C#C,-959.62
C#CC=CC=O,-1126.87
C#CC#CC=O,-955.38
C#CCCC=O,-1265.45
C=CC(O)C=C,-1407.59
C#CC(O)C=C,-1247.8
C#CC(C)C=C,-1449.49
C#CC(O)C#C,-1086.92
C=CC=CCO,-1412.82
C#CC=CCO,-1253.96
C=CC(=C)CO,-1411.31
C#CC(=C)CO,-1251.81
C=CC#CCO,-1254.73
C#CC#CCO,-1087.96
C=CCCCO,-1551.16
C#CCCCO,-1395.73
OCCCCO,-1498.24
CC(C)=C(C)C,-1755.17
O=CC=CC=O,-1095.1
O=CC#CC=O,-927.78
O=CCCC=O,-1233.64
C=CC(O)C=O,-1222.74
OCC=CCO,-1353.04
O=CC=CCO,-1225.26
C=C(CO)CO,-1352.82
C=C(C=O)CO,-1226.07
OCC#CCO,-1195.4
O=CC#CCO,-1062.97
C=CC=C(C)C,-1616.56
O=CCCCO,-1366.75
C#CC(=O)C=O,-927.43
C#CC(O)C=O,-1058.82
C=CC(=O)CO,-1230.43
C#CC(=O)CO,-1068.2
C=CC(O)CO,-1353.07
C#CC(O)CO,-1192.89
C=COCCO,-1348.73
O=COC1CC1,-1230.4
O=C(O)C1CC1,-1243.51
C#CC=C(C)C,-1458.99
